Instancia;Algoritmo;MelhorSolucao;MediaSolucoes;TempoMedio
resultadosOrdem60.csv;Guloso;29;29;0.00141805
resultadosOrdem60.csv;Randomizado_0.2;28;28.9;0.036401
resultadosOrdem60.csv;Randomizado_0.3;28;29.7;0.037555
resultadosOrdem60.csv;Randomizado_0.4;30;30.8;0.0375811
resultadosOrdem60.csv;Reativo;27;27.8;0.374507
resultadosOrdem60.csv;Guloso;33;33;0.00118448
resultadosOrdem60.csv;Randomizado_0.2;30;31.1;0.0364302
resultadosOrdem60.csv;Randomizado_0.3;31;32.3;0.0362506
resultadosOrdem60.csv;Randomizado_0.4;31;32.4;0.0371501
resultadosOrdem60.csv;Reativo;30;30.2;0.369915
resultadosOrdem60.csv;Guloso;19;19;0.00178849
resultadosOrdem60.csv;Randomizado_0.2;18;18.9;0.0532152
resultadosOrdem60.csv;Randomizado_0.3;19;20;0.0537569
resultadosOrdem60.csv;Randomizado_0.4;20;21.1;0.0547748
resultadosOrdem60.csv;Reativo;18;18.8;0.540406
resultadosOrdem60.csv;Guloso;20;20;0.00180668
resultadosOrdem60.csv;Randomizado_0.2;20;20.4;0.0519701
resultadosOrdem60.csv;Randomizado_0.3;20;21.1;0.0513829
resultadosOrdem60.csv;Randomizado_0.4;21;22.3;0.0526802
resultadosOrdem60.csv;Reativo;19;19.2;0.810524
resultadosOrdem60.csv;Guloso;14;14;0.00252866
resultadosOrdem60.csv;Randomizado_0.2;14;14.7;0.0698713
resultadosOrdem60.csv;Randomizado_0.3;15;15.9;0.0707182
resultadosOrdem60.csv;Randomizado_0.4;16;16.6;0.0702214
resultadosOrdem60.csv;Reativo;13;14.2;0.706516
resultadosOrdem60.csv;Guloso;15;15;0.00222074
resultadosOrdem60.csv;Randomizado_0.2;14;15.2;0.0659261
resultadosOrdem60.csv;Randomizado_0.3;15;16.1;0.0669539
resultadosOrdem60.csv;Randomizado_0.4;16;17.1;0.0671582
resultadosOrdem60.csv;Reativo;14;14.6;0.675093
